date,user,message
2016. 3. 9. 오후 1:34,HL,이모티콘 
2016. 3. 9. 오후 1:36,YH,아닙니닷ㅋㅋㅋ
2016. 3. 9. 오후 1:36,YH,이모티콘 
2016. 3. 9. 오후 2:55,BR,와우~ 멋쟁이 ^^
2016. 3. 10. 오전 9:57,YH,어머나 저희 확인됐나요?ㅋㅋㅋ
2016. 3. 10. 오전 10:12,BR,교수님 얘기하니까 생각났어요(깜짝) 경영 교수님들께 메일 보내라는거 완전 잊고 있었네요 ㅠ 다들 보내셨나요? 
2016. 3. 10. 오전 10:15,WH,안성만 교수님은 휴대폰 번호를 알려주지 않으셨네요 ㅠㅠ
2016. 3. 10. 오전 10:15,YH,아 ㅠㅠ
2016. 3. 10. 오전 10:15,YH,저는 교수님 연락은 안 하고 있던지라..
2016. 3. 10. 오전 10:15,YH,어떻게 하면 될까요?
2016. 3. 10. 오전 10:16,WH,권순범 교수님께는 제가 연락 드릴게요 ^^
2016. 3. 10. 오전 10:16,KS,<빅데이터경영>
2016. 3. 10. 오전 10:20,BR,정말 감사합니다~~!!
2016. 3. 10. 오전 10:40,KS,교수님 참석여부는 완전 생각 못했네요..ㅡㅡ;
2016. 3. 11. 오전 9:14,YH,저희 연락 안가고 있는 분이 계실까요~~ 늦게나마 저도 도울게요!
2016. 3. 11. 오전 9:45,KS,명단에 있는 교수님이 다 참석하신다고 확인하셨다는 말은 아니겠죠? (참석)만 확인되셨다는 말이겠죠? 현재까진...
2016. 3. 11. 오전 9:46,YH,네 저건 전체 리스트고 참석이 확인 완료인 거 같아요~
2016. 3. 11. 오전 9:47,KS,회장님 안되신 교수님 계시면 저도 연락 도와드리겠습니다
2016. 3. 11. 오전 9:47,WH,임동진 교수님 외에 다른 분들은 연락드렸어요
2016. 3. 11. 오전 9:48,WH,장운호 교수님 참석 ... 전창환 교수님 일정 확인 후 알려주신다고...
2016. 3. 11. 오전 9:48,KS,임동진 교수님이 투이컨설팅 맞으시죠?
2016. 3. 11. 오전 9:49,WH,안성만 / 권순범 교수님 연구실로 연락드렸는데 계속 부재중이시라 메일 드렸어요...
2016. 3. 11. 오전 9:49,WH,네...
2016. 3. 11. 오전 9:50,WH,총무님들... 오늘 시간 되시면 두 분 교수님 연구실로 연락 부탁드려요 ^^
2016. 3. 11. 오전 9:52,KS,임동진 교수님껜 제가 연락드리겠습니다. 그리고 나머지 두분도 연락 시도하겠습니다
2016. 3. 11. 오전 9:55,WH,네 감사합니다 ^^
2016. 3. 11. 오전 9:59,YH,감사합니다~~!!!!
2016. 3. 11. 오후 12:09,KS,임동진 교수님은 내일까지 제주도 출장이라서 참석 못하신다고 하십니다.
2016. 3. 11. 오후 12:10,KS,안성만 / 권순범 교수님은 역시 연구실 전화 안받으시네요..ㅡㅡ;
2016. 3. 11. 오후 12:10,HL,내일 당일에나 여쭤봐야대는건가요...
2016. 3. 11. 오후 12:10,HL,미리 연락처좀 받아놓을걸 그랫네요~
2016. 3. 11. 오후 12:11,WH,수고하셨어요 ^^
2016. 3. 11. 오후 12:11,HL,고생하셨습니다~
2016. 3. 11. 오후 12:11,WH,내일 휴대폰 번호 여쭤봐야 겠네요
2016. 3. 11. 오후 12:13,BR,두분 모두 연락하시느라 고생많이하셨습니다~
2016. 3. 11. 오후 12:13,HL,네 그래야겟어요~
2016. 3. 12. 오전 10:44,YH,저희 원우회비 10만원 걷는 얘긴 어떻게 할까요? 그냥 밴드 공지???
2016. 3. 12. 오후 12:45,HL,오늘 단상공지로 하시죠
2016. 3. 13. 오후 12:41,WH,일요일은 쉬어야 하는데 미션이 주어졌네요 ㅡㅡ
2016. 3. 13. 오후 12:43,YH,ㅋㅋㅋ 어떤 미션이요?
2016. 3. 13. 오후 12:43,WH,1. SQL 교수님이 공지 하셨는데... 조 구성을 해야합니다... 사이버강의실 공지사항참조 하세요
2016. 3. 13. 오후 12:43,YH,....
2016. 3. 13. 오후 12:43,YH,제안ㅋㅋㅋㅋㅋㅋㅋㅋ
2016. 3. 13. 오후 12:44,YH,어떡햌ㅋㅋㅋㅋㅋㅋ
2016. 3. 13. 오후 12:44,WH,2. DA# 설치 하고픈 사람 조사
2016. 3. 13. 오후 12:44,WH,ㅋㅋㅋ ㅡㅡ;;
2016. 3. 13. 오후 12:45,YH,디에이샵까진 혼자 하지 마시구 저쪽 단체방 카톡 공지로 신청할 사람 우리 중 한명한테 개인적으로 언제까지 연락하라구 
2016. 3. 13. 오후 12:47,WH,3. 이번 토요일 점심식사. 조윤호 교수님과 함께할 사람 15명 지원자 모집
2016. 3. 13. 오후 12:49,WH,부회장님 2번 / 총무님 3번. 진행 부탁드려요~
2016. 3. 13. 오후 12:50,YH,지원잨ㅋㅋㅋㅋㅋㅋㅋ
2016. 3. 13. 오후 12:50,WH,오늘은 푹 쉬시고 주중에 부탁드려요 ^^
2016. 3. 13. 오후 12:50,YH,이모티콘 
2016. 3. 13. 오후 12:51,WH,이모티콘 
2016. 3. 13. 오후 12:59,KS,넵!!
2016. 3. 13. 오후 1:00,KS,15명에 임원진도 필수 포함인가요??
2016. 3. 13. 오후 1:03,WH,상관없어요. 나머지 15명은 2-3주 뒤 주임교수님과 점심합니다
2016. 3. 13. 오후 1:04,WH,아
2016. 3. 13. 오후 1:43,YH,저도 잘 모르겠어요 ㅋㅋㅋ
2016. 3. 13. 오후 6:55,BR,중식당인가 거기 같아요~ 위로 올라가면 나온다는곳요 ㅎㅎ 
2016. 3. 13. 오후 6:57,BR,"어차피 단톡방에 공지하는 내용이니 2,3번 제가 같이 진행할게요~"
2016. 3. 13. 오후 6:57,BR,두개다 신청하실 분들은 한번에 신청하시는게 어떨까해서요^^
2016. 3. 13. 오후 6:59,BR,조구성은.. 적절한 인원은 몇명일까요^^;;
2016. 3. 13. 오후 6:59,WH,넵. 감사합니다....^^ 검색해보니 청향. 이네요
2016. 3. 13. 오후 7:00,WH,일단 SQL 다룰줄 아는 사람이 몇명일지 알아봐야 할것 같아요 ㅎㅎ
2016. 3. 13. 오후 7:01,BR,오. 중요한 포인트네요. ㅎㅎㅎ
2016. 3. 13. 오후 7:03,BR,강의실 구조로 볼때 4명~6명이 좋을것도 같구요~
2016. 3. 13. 오후 7:03,KS,단톡방에 SQL 다루시는분 수배해볼까요? ㅋ
2016. 3. 13. 오후 7:04,BR,좋습니다^^
2016. 3. 13. 오후 7:05,WH,네~앱 ^^
2016. 3. 13. 오후 7:05,BR,'형평성있는 조원구성 ' 항목에 필요한 사항이겠어요 ㅎ
2016. 3. 13. 오후 7:16,KS,SQLD 있으시다는 분 계시지 않았나요? 근데 성함을 모르겠네요 ㅡㅡ;
2016. 3. 13. 오후 7:19,KS,우선 BJ님 자수 하셨습니다 ㅋㅋ
2016. 3. 13. 오후 7:22,YH,김혁민 님이요 ㅋㅋㅋㅋㅋ
2016. 3. 13. 오후 7:22,BR,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2016. 3. 13. 오후 8:08,KS,조장: 성광훈(김혁민님의 부탁)
2016. 3. 13. 오후 8:08,KS,현제까지 조사된 부분입니다
2016. 3. 13. 오후 8:08,KS,현재
2016. 3. 13. 오후 8:09,YH,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2016. 3. 13. 오후 8:10,YH,멋지십니닷
2016. 3. 13. 오후 8:10,WH,감사요 ^^ 1조가 더 있어야 할텐대요... 음 기술 맡으실분 더 있을까요 ㅎ
2016. 3. 13. 오후 8:11,YH,그러게요 ㅎ 사람이 적을수록 조 운영이 나을텐데요 1~2조더 ㅠㅠ
2016. 3. 13. 오후 8:11,KS,이모티콘 회장님 제 부탁도 들어주실꺼죠~?
2016. 3. 13. 오후 8:11,KS,이세용님 설득 완료^^
2016. 3. 13. 오후 8:11,WH,오 오오
2016. 3. 13. 오후 8:12,WH,네~ 어떤 부탁이요?(힘듦)
2016. 3. 13. 오후 8:13,KS,쪼~~ 위에 조원에 조용히 저의 이름을....넣어봤는데....
2016. 3. 13. 오후 8:13,YH,ㅋㅋㅋㅋㅋㅋ
2016. 3. 13. 오후 8:13,WH,아~ 네~ 원하시는대로 ㅎㅎㅎ
2016. 3. 13. 오후 8:43,WH,주귀복 님 자원해주셨어요 ^ㅇ^
2016. 3. 13. 오후 8:43,KS,이모티콘 
2016. 3. 13. 오후 8:47,KS,그럼 5조로 조 마감하실건가요? 더 없을꺼 같긴합니다
2016. 3. 13. 오후 8:47,YH,방금 저희 엠티 비용으로 3기 회계님께 150만원 보냈습니다~ (인당 5만원)
2016. 3. 13. 오후 8:48,YH,돈 수입 지출 내역은 제가 여기 계신 분들께 이멜로 공유드린 지닥에 정리하겠습니다
2016. 3. 13. 오후 8:48,KS,회비는 거의 모이셨나요?
2016. 3. 13. 오후 8:48,YH,23분 내셨어요~
2016. 3. 13. 오후 8:49,WH,ㅎㅎ 하루만에 많이 내셨네요
2016. 3. 13. 오후 8:51,WH,음...1조 더 있으면 좋겠는데... 아직 지원자가 더 없네요
2016. 3. 13. 오후 8:51,YH,그죠 저도 그러네요 ㅠㅜ
2016. 3. 13. 오후 8:52,YH,알아야 부탁이라도 할텐데
2016. 3. 13. 오후 8:53,WH,it쪽 손들라고 했을때 5명 이었던 것 같기도 하구여...
2016. 3. 13. 오후 10:07,HL,기절햇다가 일어나보니 뭔가 많은 일들이 진행되엇네요 ㅋㅋㅋㅋ
2016. 3. 13. 오후 10:07,HL,기성이는 왜 자수안하는거여 ㅋㅋㅋ
2016. 3. 13. 오후 10:09,KS,난 그정도 실력이 안되ㅋㅋ
2016. 3. 13. 오후 10:10,HL,이모티콘 
2016. 3. 13. 오후 10:10,KS,ㅋㅋㅋ
2016. 3. 13. 오후 10:10,HL,아무리 그래도 조원이 뭐여 ㅋㅋㅋ
2016. 3. 13. 오후 10:10,YH,ㅋㅋㅋㅋㅋ 그럼 6팀.확정인가여
2016. 3. 13. 오후 10:10,YH,(winks)
2016. 3. 13. 오후 10:10,HL,이모티콘 
2016. 3. 13. 오후 10:10,KS,이모티콘 
2016. 3. 13. 오후 10:10,HL,ㅋㅋㅋㅋㅋㅋ
2016. 3. 13. 오후 10:11,HL,이모티콘 
2016. 3. 13. 오후 10:11,KS,그럼 조장? 할까? ㅋ
2016. 3. 13. 오후 10:11,HL,아무래도 기술쪽인데 ㅋㅋㅋㅋ
2016. 3. 13. 오후 10:12,HL,미친척하고 들어가 기술쪽으로...ㅋㅋ 난 다른조로 갈게~
2016. 3. 13. 오후 10:12,KS,이모티콘 조장 잘할 수 있습니다!!!
2016. 3. 13. 오후 10:13,HL,이모티콘 
2016. 3. 13. 오후 10:13,HL,우리같이 외계어보는 수준 아니니께 기술봐 ㅋㅋㅋㅋ
2016. 3. 13. 오후 10:13,KS,너무 조가 많아지면 따로따로 뭉쳐지지 않을까?
2016. 3. 13. 오후 10:13,KS,난 그게 걱정되는데..
2016. 3. 13. 오후 10:14,HL,나도 약간 그점을 생각을 좀 해보긴 햇는데
2016. 3. 13. 오후 10:14,KS,그렇지
2016. 3. 13. 오후 10:14,WH,앗 숨은 고수가 ...
2016. 3. 13. 오후 10:14,KS,내가 R은 진짜 도와줄 자신있는데
2016. 3. 13. 오후 10:14,HL,재야의 숨은 고수로 절대 추천드립니다
2016. 3. 13. 오후 10:14,KS,SQL은.....
2016. 3. 13. 오후 10:14,HL,그래서 내 생각엔 이걸로
2016. 3. 13. 오후 10:14,HL,Sql R 선형통계까지 좀 아우를수잇는
2016. 3. 13. 오후 10:15,HL,조로 짜면 좋겟다 그런 생각이 드네여
2016. 3. 13. 오후 10:15,HL,기술쪽은 각과목별로 바꿔주고
2016. 3. 13. 오후 10:15,HL,조원들을 거기에맞게 좀 분포를 시켜주면 좋겟는데
2016. 3. 13. 오후 10:15,HL,임원님들 생각은 어때요
2016. 3. 13. 오후 10:16,KS,이해가 안됬어... 조원은 같은데 기술이 달라지는건가?
2016. 3. 13. 오후 10:16,KS,안됐어
2016. 3. 13. 오후 10:16,HL,그렇지 그렇지
2016. 3. 13. 오후 10:16,HL,그러니까 조원자체를 분포시킬때
2016. 3. 13. 오후 10:17,HL,이걸 다 아울를수 잇는 쪽으로 짜면
2016. 3. 13. 오후 10:17,KS,안되다가 맞는 맞춤법이네 ㅡㅡ;
2016. 3. 13. 오후 10:17,WH,그렇죠... 통계 아시는 분도 1분씩 배분
2016. 3. 13. 오후 10:17,HL,같은 조 내에서 다 해결
2016. 3. 13. 오후 10:17,HL,그렇습니다 회장님
2016. 3. 13. 오후 10:17,HL,이모티콘 
2016. 3. 13. 오후 10:18,KS,이왕 짜는거면 다같이 갈 수 있으면 좋죠
2016. 3. 13. 오후 10:18,HL,마냥 도움만 받는거보다는 내가 다른과목은 좀 도와줄수 잇는 상태가 되면 좀 덜미안하기도 할것같고
2016. 3. 13. 오후 10:18,KS,근데... 각각마다 기술이 6명을 찾기는 힘들꺼같아
2016. 3. 13. 오후 10:19,KS,5조만 하자 ㅋㅋ
2016. 3. 13. 오후 10:19,HL,ㅇㅇ
2016. 3. 13. 오후 10:19,HL,기성아 조장가잠
2016. 3. 13. 오후 10:19,KS,형일아 고마워
2016. 3. 13. 오후 10:19,HL,조장으로 가자!!ㅋ
2016. 3. 13. 오후 10:19,KS,뭐?
2016. 3. 13. 오후 10:19,HL,넌 전체를 아우를수잇는 몇안되는 존재같아
2016. 3. 13. 오후 10:19,HL,이모티콘 
2016. 3. 13. 오후 10:20,KS,나 R 맞을께
2016. 3. 13. 오후 10:20,HL,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 어떻게든 피해보는거냐 ㅋㅋㅋㅋ
2016. 3. 13. 오후 10:21,KS,당황하니깐 맞춤법 계속틀리네 ㅡㅡ;
2016. 3. 13. 오후 10:21,HL,ㅋㅋㅋㅋㅋㅋㅋ
2016. 3. 13. 오후 10:21,KS,회장님이 생각이 있으실꺼야^^
2016. 3. 13. 오후 10:22,HL,조를 만드는걸 술먹을때 재미로 abc 만들어서 해보자고 햇던 얘기가 엄청 커졋네 ㅋㅋ
2016. 3. 13. 오후 10:22,HL,술 마시는 조로 친해져보자 그런 취지엿는데.... 암튼 좋은 발전 방향인것같습니당 ㅋ
2016. 3. 13. 오후 10:26,YH,ㅇㅁㅇ
2016. 3. 13. 오후 10:26,YH,뭔가 많은 대화가...
2016. 3. 13. 오후 10:26,HL,ㅋㅋㅋㅋㅋㅋ
2016. 3. 13. 오후 10:26,HL,그닥 영양가 잇진 않앗슴다 ㅋㅋ
2016. 3. 13. 오후 10:27,YH,한번 조 짜보고 r 잘하는 분이 팀마다 한명이라도 없으면 팀원 살짝 조정히면 되겠죠뭐ㅣㅋㅋ
2016. 3. 13. 오후 10:27,YH,전 r은 정총무님 믿고 있슴다
2016. 3. 13. 오후 10:27,YH,ㅋㅋㅋㅋㅋㅋㅋ
2016. 3. 13. 오후 10:27,HL,초절정고수!!
2016. 3. 13. 오후 10:29,KS,저도 살짝 묻어가야겠네요~
2016. 3. 13. 오후 10:29,HL,어딜 묻어가 ㅋㅋㅋ 니가 주라니까 ㅋㅋㅋ
2016. 3. 13. 오후 10:30,KS,정총무님이 3기 선배님을 말하는거 아니셨어?
2016. 3. 13. 오후 10:31,HL,ㅋㅋㅋㅋㅋㅋ KS 정총무님 ㅋ
2016. 3. 13. 오후 10:32,KS,정이 성이 아니었구나 ㅡㅡ;ㅋㅋ
2016. 3. 13. 오후 10:32,KS,이모티콘 R은 도와 드릴께요~~~~~
2016. 3. 13. 오후 10:32,HL,이모티콘 
2016. 3. 13. 오후 10:32,YH,크헝 알 ㅠㅠㅠㅠㅠ
2016. 3. 13. 오후 10:33,HL,이모티콘 
2016. 3. 14. 오전 8:18,YH,(stunned)
2016. 3. 14. 오전 8:18,YH,월요일도 화이팅하세요!
2016. 3. 14. 오전 8:58,HL,이모티콘 
2016. 3. 14. 오전 8:58,HL,화이팅 입니다!ㅋ
2016. 3. 14. 오전 9:09,WH,이모티콘 즐거운 한우되세요~
2016. 3. 14. 오전 9:09,WH,한주... 헉 ㅠㅠ
2016. 3. 14. 오전 9:10,YH,한웈ㅋㅋㅋ
2016. 3. 14. 오전 9:24,BR,ㅎㅎㅎㅎ 한우 화이팅~~~!!!(꺄아)
2016. 3. 14. 오전 9:29,HL,먹고싶다 한우!!! ㅋㅋㅋㅋㅋ
2016. 3. 14. 오전 9:29,HL,이모티콘 
2016. 3. 14. 오전 10:16,KS,지원자 한분 추가 됐습니다~
2016. 3. 14. 오전 10:22,YH,ㅋㅋㅋㅋㅋ우앗
2016. 3. 14. 오전 10:23,YH,저희 기수 분들 진짜 친절하신 거 같아요 ㅠㅠㅠㅠ
2016. 3. 14. 오전 10:23,YH,이모티콘 
2016. 3. 14. 오전 11:00,HL,이모티콘 
2016. 3. 14. 오전 11:00,HL,아주 분위기가 좋네요^^
2016. 3. 14. 오후 6:37,WH,퇴근들은 하셨나요? 전 오늘도 야근!!!임니당 ㅎ 조는 5개? 6개? 어떻게 할까요?
2016. 3. 14. 오후 6:38,YH,6분이 있으시다면 6조가 나을 것 같습니다!
2016. 3. 14. 오후 6:38,WH,기술마스터 지원자
2016. 3. 14. 오후 6:39,KS,저도 야근입니다..
2016. 3. 14. 오후 6:40,KS,저도 6조가 좋을꺼같기는한데... 통계나 R 도 같이 집어넣으실꺼면 너무 많은거 같기도 하고...
2016. 3. 14. 오후 6:40,WH,이모티콘 동지시군요
2016. 3. 14. 오후 6:41,YH,저도 야근 고민중 ㅠㅠ
2016. 3. 14. 오후 6:41,YH,6조로 하시고 과목별로 짱짱 키맨 한두분씩 따로 하는 게 어떨까요 분야별로 모든 전문가가 5분씩 있을 것 같진 않아서...
2016. 3. 14. 오후 6:43,WH,저도 sql은 10년 전에 써본 실력이라 ㅎ
2016. 3. 14. 오후 6:45,KS,이모티콘 
2016. 3. 14. 오후 6:45,KS,다들 조녁식사 챙겨드세요~~
2016. 3. 14. 오후 6:45,KS,저녁
2016. 3. 14. 오후 6:47,YH,ㅋㅋㅋㅋㅋ
2016. 3. 14. 오후 6:47,WH,ㅎㅎㅎㅎ
2016. 3. 14. 오후 6:48,WH,저도 밥 묵으러 갑니다
2016. 3. 14. 오후 6:49,HL,저도 이제 먹을라고 해요
2016. 3. 14. 오후 6:49,HL,맛잇게들 드세용~~
2016. 3. 14. 오후 6:50,HL,짱짱 키맨 좋네요 ㅋㅋㅋㅋ
2016. 3. 14. 오후 6:53,YH,ㅋㅋㅋㅋㅋㅋㅋ
2016. 3. 14. 오후 6:59,WH,그럼 6개조로 하고 단톡방에 공지 올려 조 선택하게 하죠... 일단 조 구성 후 나중에 조정 하구요 ^^
2016. 3. 14. 오후 7:00,YH,넵ㅎㅎ
2016. 3. 14. 오후 7:00,KS,카톡은 대화때문에 위로 올라가는 단점이 있습니다
2016. 3. 14. 오후 7:00,YH,아밴드?
2016. 3. 14. 오후 7:01,KS,공식적인건 밴드에 공지하시는게 좋지않을까요?
2016. 3. 14. 오후 7:01,WH,네 밴드로 하죠 ^^
2016. 3. 14. 오후 7:03,KS,회장님 지금올리실껀가요?? ㅋㅋ
2016. 3. 14. 오후 7:04,KS,저 빨리 줄설려고 그러는데 ㅋㅋ
2016. 3. 14. 오후 7:04,YH,ㅋㅋㅋㅋㅋㅋㅋ
2016. 3. 14. 오후 7:04,YH,몇명대깈ㅋㅋㅋㅋㅋ
2016. 3. 14. 오후 7:05,WH,그럼 총무님이 공지 올리시고 먼저 지원할 특권을 드리지요 ㅎㅎㅎ
2016. 3. 14. 오후 7:05,KS,ㅋㅋㅋㅋㅋ
2016. 3. 14. 오후 7:05,YH,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2016. 3. 14. 오후 7:05,KS,넵.... 다들 줄설준비하세요~~~
2016. 3. 14. 오후 7:05,KS,언제 올릴지 모릅니다~~ㅋㅋ
2016. 3. 14. 오후 7:19,KS,올렸습니다
2016. 3. 14. 오후 7:22,YH,이모티콘 
2016. 3. 14. 오후 7:24,YH,ㅋㅋㅋㅋ내용센스
2016. 3. 14. 오후 7:24,WH,이모티콘 
2016. 3. 14. 오후 7:24,KS,누가 누군지 모르실까봐~
2016. 3. 14. 오후 7:25,YH,좋아욬ㅋㅋㅋ
2016. 3. 14. 오후 7:39,BR,정말 총무님 센스가 (굿)
2016. 3. 14. 오후 7:44,KS,이모티콘 
2016. 3. 14. 오후 7:44,BR,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2016. 3. 14. 오후 7:57,WH,이모티콘 오늘 일 시켜셔 미안해요
2016. 3. 14. 오후 8:09,KS,ㅋㅋㅋ 그런뜻이 아니라.... 회사에 하고 싶은 말이었습니다 ㅋㅋ
2016. 3. 14. 오후 8:09,YH,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ아차
2016. 3. 14. 오후 8:12,BR,(푸하하)
2016. 3. 14. 오후 8:12,BR,ㅋㅋㅋㅋㅋㅋㅋ
2016. 3. 14. 오후 9:06,HL,아... 소주 먹고 잇는 사이에 당햇네...
2016. 3. 14. 오후 9:06,HL,이모티콘 
2016. 3. 14. 오후 9:07,KS,ㅋㅋㅋㅋ
2016. 3. 14. 오후 9:08,KS,형일아 시무자님이 기다리신다~
2016. 3. 14. 오후 9:08,HL,아 이거 반칙이여...
2016. 3. 14. 오후 9:08,KS,R은 개인과외라도 도와줄께~
2016. 3. 14. 오후 9:09,HL,그건 진작에 받을라고 햇엇고
2016. 3. 14. 오후 9:09,KS,ㅋㅋㅋ
2016. 3. 14. 오후 9:16,HL,너무 몰리는거 아닙니꺼 ㅋㅋ
2016. 3. 14. 오후 9:23,HL,이거 쇠주한잔 하고 왓더니 다 찻어.... ㅠㅠ
2016. 3. 14. 오후 9:52,YH,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2016. 3. 14. 오후 10:59,KS,회장님 정도상님을 제외하곤 다들 조 에 들어가신거 같습니다
2016. 3. 14. 오후 11:00,WH,네 확인할게요
2016. 3. 14. 오후 11:29,WH,1조
2016. 3. 14. 오후 11:32,WH,1조 김혁민
2016. 3. 14. 오후 11:33,WH,나중에 지원한 사람은 다른 조에 배치 했습니다.
2016. 3. 14. 오후 11:39,KS,공지를 해야겠죠?
2016. 3. 14. 오후 11:41,WH,그럴까 하다가 한밤중이라 ^^ 내일 공지하려구요 ...
2016. 3. 14. 오후 11:41,KS,넵! 알겠습니다^^
2016. 3. 14. 오후 11:42,WH,네~ 굿나잇 되세요
2016. 3. 15. 오전 12:02,BR,밤늦게까지 고생 많으셨습니다~~ 꿀잠 주무셔요^^
2016. 3. 15. 오전 12:22,YH,수고하셨습니다!!!
2016. 3. 15. 오전 10:38,HL,저희 기수 엠티 버스타는 인원 파악해달라고 하네요
2016. 3. 15. 오전 10:38,HL,일단 가시는 분들 인원부터 정확히 나와야할거같은데
2016. 3. 15. 오전 10:40,HL,현재 열여덟분만 투표를 한상황이라 카톡에 투표 안하신분들 독려하는게 좋을까요?!
2016. 3. 15. 오전 10:42,KS,넵~^^
2016. 3. 15. 오전 10:43,YH,넵!
2016. 3. 15. 오전 10:44,HL,이모티콘 
2016. 3. 16. 오후 5:38,YH,총 29명이 회비 내주셔서 290만원에 개파 인당 2만원씩 60만
2016. 3. 16. 오후 5:47,WH,헉스ㅡㅡ;;
2016. 3. 16. 오후 6:45,HL,이모티콘 
2016. 3. 16. 오후 6:45,HL,290만원이 순식간에 ㅋㅋㅋ
2016. 3. 16. 오후 6:46,YH,ㅋㅋㅋㅋ그죠
2016. 3. 16. 오후 6:48,HL,조만간 돈을 더 걷어야할지도 ㅋㅋㅋ
2016. 3. 16. 오후 6:51,GM,이모티콘 충분하겠다고 생각했는데 그것도 아니네요ㅋㅋ
2016. 3. 16. 오후 6:58,HL,이모티콘 
2016. 3. 16. 오후 6:59,YH,지금 회계끼리 말하고 있는데 이러다 더 걷어야 할 거 같다고...
2016. 3. 16. 오후 7:00,HL,이모티콘 
2016. 3. 16. 오후 7:00,HL,이모티콘 
2016. 3. 18. 오전 11:23,YH,1. 아침 버스 이동 시 김밥 (전체) 2. 오후 중간 간식 (전체)
2016. 3. 18. 오전 11:23,YH,톡게시판 '공지': 1. 아침 버스 이동 시 김밥 (전체)
2016. 3. 18. 오전 11:24,WH,네 좋아요 ^^
2016. 3. 18. 오전 11:24,KS,회계님 바쁘시네요~
2016. 3. 18. 오전 11:26,HL,저야 항상 일찍 가니까 그렇게해도 괜찮습니다 ㅋㅋ
2016. 3. 18. 오전 11:43,WH,BR 부회장님... 바쁘시겠지만 DA# 설치 희망자 & 개인노트북 사용자 명단은 오늘 중으로 전창환 교수님께 알려주세요...
2016. 3. 18. 오전 11:46,WH,총무님들은 내일 점심때 교수님과 식사할 분들 인솔 부탁 드릴게요...
2016. 3. 18. 오전 11:47,HL,예압!!
2016. 3. 18. 오전 11:52,BR,넵! 안그래도 이걸 회장님께 드릴까 교수님께 직접 드릴까 고민중이었어요 ^^ 교수님께 드리겠습니다~
2016. 3. 18. 오전 11:52,WH,감사합니다~
2016. 3. 18. 오전 11:53,HL,이모티콘 
2016. 3. 18. 오후 2:08,BR,앗. 저희 혹시 식당 예약은.. 제가 하는것이었을까요?;;
2016. 3. 18. 오후 2:09,BR,예약부분에 대해 잊고 있었네요ㅠㅠ
2016. 3. 18. 오후 2:12,YH,아ㅠㅠ
2016. 3. 18. 오후 2:13,HL,식당이라함은?!...
2016. 3. 18. 오후 2:13,HL,이모티콘 
2016. 3. 18. 오후 2:14,KS,이번주 토요일 점심 먹는 식당이요
2016. 3. 18. 오후 2:15,HL,거기 식당이 뭐 잇는지도 모르는데 ㅋㅋㅋㅋ
2016. 3. 18. 오후 2:15,HL,이모티콘 
2016. 3. 18. 오후 2:23,BR,청향이라고 하셨는데
